Kategoria: Wszystko

Tydzień,cryptocurrency: (Cały świat)
2017-10-22,13
2017-10-29,16
2017-11-05,19
2017-11-12,20
2017-11-19,23
2017-11-26,42
2017-12-03,56
2017-12-10,78
2017-12-17,94
2017-12-24,72
2017-12-31,100
2018-01-07,100
2018-01-14,88
2018-01-21,54
2018-01-28,58
2018-02-04,52
2018-02-11,32
2018-02-18,32
2018-02-25,24
2018-03-04,24
2018-03-11,25
2018-03-18,22
2018-03-25,22
2018-04-01,19
2018-04-08,17
2018-04-15,18
2018-04-22,19
2018-04-29,16
2018-05-06,16
2018-05-13,14
2018-05-20,13
2018-05-27,12
2018-06-03,11
2018-06-10,15
2018-06-17,11
2018-06-24,12
2018-07-01,11
2018-07-08,10
2018-07-15,12
2018-07-22,10
2018-07-29,11
2018-08-05,10
2018-08-12,11
2018-08-19,10
2018-08-26,9
2018-09-02,10
2018-09-09,10
2018-09-16,10
2018-09-23,10
2018-09-30,8
2018-10-07,9
2018-10-14,9
2018-10-21,9
2018-10-28,8
2018-11-04,9
2018-11-11,10
2018-11-18,9
2018-11-25,10
2018-12-02,9
2018-12-09,7
2018-12-16,8
2018-12-23,8
2018-12-30,7
2019-01-06,7
2019-01-13,7
2019-01-20,7
2019-01-27,7
2019-02-03,9
2019-02-10,7
2019-02-17,8
2019-02-24,7
2019-03-03,7
2019-03-10,6
2019-03-17,6
2019-03-24,6
2019-03-31,9
2019-04-07,7
2019-04-14,6
2019-04-21,6
2019-04-28,6
2019-05-05,7
2019-05-12,10
2019-05-19,8
2019-05-26,9
2019-06-02,8
2019-06-09,8
2019-06-16,13
2019-06-23,11
2019-06-30,8
2019-07-07,9
2019-07-14,8
2019-07-21,7
2019-07-28,7
2019-08-04,7
2019-08-11,6
2019-08-18,6
2019-08-25,6
2019-09-01,6
2019-09-08,6
2019-09-15,6
2019-09-22,7
2019-09-29,6
2019-10-06,6
2019-10-13,6
2019-10-20,6
2019-10-27,6
2019-11-03,6
2019-11-10,6
2019-11-17,6
2019-11-24,5
2019-12-01,5
2019-12-08,5
2019-12-15,6
2019-12-22,5
2019-12-29,5
2020-01-05,6
2020-01-12,6
2020-01-19,6
2020-01-26,6
2020-02-02,6
2020-02-09,7
2020-02-16,7
2020-02-23,7
2020-03-01,8
2020-03-08,8
2020-03-15,7
2020-03-22,7
2020-03-29,6
2020-04-05,7
2020-04-12,6
2020-04-19,7
2020-04-26,8
2020-05-03,8
2020-05-10,8
2020-05-17,7
2020-05-24,8
2020-05-31,6
2020-06-07,7
2020-06-14,7
2020-06-21,6
2020-06-28,7
2020-07-05,8
2020-07-12,8
2020-07-19,8
2020-07-26,9
2020-08-02,9
2020-08-09,9
2020-08-16,9
2020-08-23,8
2020-08-30,9
2020-09-06,8
2020-09-13,8
2020-09-20,7
2020-09-27,7
2020-10-04,6
2020-10-11,6
2020-10-18,7
2020-10-25,7
2020-11-01,6
2020-11-08,8
2020-11-15,10
2020-11-22,13
2020-11-29,11
2020-12-06,10
2020-12-13,11
2020-12-20,13
2020-12-27,18
2021-01-03,30
2021-01-10,27
2021-01-17,21
2021-01-24,30
2021-01-31,36
2021-02-07,50
2021-02-14,39
2021-02-21,35
2021-02-28,24
2021-03-07,26
2021-03-14,28
2021-03-21,24
2021-03-28,26
2021-04-04,33
2021-04-11,54
2021-04-18,60
2021-04-25,44
2021-05-02,78
2021-05-09,87
2021-05-16,84
2021-05-23,55
2021-05-30,41
2021-06-06,35
2021-06-13,29
2021-06-20,32
2021-06-27,23
2021-07-04,23
2021-07-11,19
2021-07-18,20
2021-07-25,21
2021-08-01,21
2021-08-08,25
2021-08-15,26
2021-08-22,24
2021-08-29,24
2021-09-05,27
2021-09-12,23
2021-09-19,25
2021-09-26,21
2021-10-03,29
2021-10-10,29
2021-10-17,29
2021-10-24,53
2021-10-31,66
2021-11-07,42
2021-11-14,43
2021-11-21,50
2021-11-28,40
2021-12-05,32
2021-12-12,28
2021-12-19,24
2021-12-26,25
2022-01-02,33
2022-01-09,29
2022-01-16,35
2022-01-23,31
2022-01-30,34
2022-02-06,28
2022-02-13,24
2022-02-20,24
2022-02-27,21
2022-03-06,21
2022-03-13,19
2022-03-20,19
2022-03-27,20
2022-04-03,20
2022-04-10,20
2022-04-17,17
2022-04-24,17
2022-05-01,17
2022-05-08,32
2022-05-15,21
2022-05-22,18
2022-05-29,16
2022-06-05,13
2022-06-12,24
2022-06-19,15
2022-06-26,13
2022-07-03,10
2022-07-10,11
2022-07-17,12
2022-07-24,10
2022-07-31,10
2022-08-07,10
2022-08-14,11
2022-08-21,10
2022-08-28,10
2022-09-04,10
2022-09-11,10
2022-09-18,10
2022-09-25,10
2022-10-02,8
2022-10-09,9
2022-10-16,9
